trading_day,ticker,p_positive_mean,p_negative_mean,p_neutral_mean,net_sentiment,sentiment_volume,sentiment_momentum,sentiment_dispersion
2024-07-26,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-29,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-30,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-07-31,COP,-0.6023674,-0.64259297,1.1100242,0.048104998,0.0,-0.8194778177658614,-0.39002892
2024-08-01,COP,-0.2983656,-0.66678876,0.87006426,0.24089503,-0.4706100979848702,-0.721427325596803,-0.39002892
2024-08-02,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,-0.4706100979848702,-0.8057896615995184,-0.39002892
2024-08-05,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-06,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-07,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-08,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-09,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-12,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-13,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-14,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-15,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-16,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-19,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-20,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-21,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-22,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-23,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
2024-08-26,COP,-0.8301772,2.1796238,-1.2869126,-1.8429328,0.0,-0.8057896615995184,-0.39002892
